,Unnamed: 0,Unnamed: 0.1,date,tweet,fav,label
0,0,0,3/21/16 21:15,b'RT @thenikhilkapur: how to catch Leo...\n\n#Oscars https://t.co/X8arggPqFk',0,funny
1,1,1,3/22/16 21:15,"b""RT @thenikhilkapur: teacher: where's your homework\nme: where's leonardo dicaprio's oscar\n\n#Oscars""",0,funny
2,2,2,3/23/16 21:15,"b'RT @thenikhilkapur: presenter: ""and the oscar goes to...""\n\nleo: *starts to slowly get up to go on stage*\n\npresenter: ""DAMN DANIEL BACK AT I\xe2\x80\xa6'",0,funny
3,3,3,3/24/16 21:15,b'RT @TheWeekndBible: #Oscars Performance https://t.co/7C7xvpfHeM',0,info
4,4,4,3/25/16 21:15,b'RT @sexyblackboys: Michael B. Jordan looking sharp tonight #Oscars https://t.co/k9h2hZqnTS',0,funny
5,5,5,3/30/16 21:15,b'RT @thenikhilkapur: The #Oscars in a nutshell. https://t.co/Sh54KFe4HM',0,info
6,6,6,3/31/16 21:15,"b""RT @thenikhilkapur: wouldn't it be funny if in fifty years someone made a movie about leonardo dicaprio &amp; the actor that played him won an \xe2\x80\xa6""",0,funny
7,7,7,4/4/16 21:15,b'RT @50sAnd60s: Audrey Hepburn and Grace Kelly backstage. #Oscars https://t.co/4O4KYPOgAn',0,info
8,8,8,4/10/16 21:15,"b""RT @peta: Fact from Leo DiCaprio's #Cowspiracy: Animal agriculture is the source of 51% of all greenhouse gasses. #Oscars https://t.co/qImI\xe2\x80\xa6""",0,info
9,9,9,4/11/16 21:15,b'RT @peta: The best thing we can all do to stop #ClimateChange is to go #vegan. #Oscars https://t.co/7beIUS7bYk',0,info
10,10,10,4/12/16 21:15,"b'RT @WhiteHouse: Climate change ""is the most urgent threat facing our entire species.""\n\nRT if you agree with @LeoDiCaprio. #Oscars https://t\xe2\x80\xa6'",0,info
11,11,11,4/13/16 21:15,"b""RT @TheEllenShow: If only Bradley's arm was longer. Best photo ever. #oscars http://t.co/C9U5NOtGap""",0,funny
12,12,12,3/20/16 21:05,"b""RT @RWitherspoon: Three's Company \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xf0\x9f\xa4\x96\xf0\x9f\x91\xa6\xf0\x9f\x8f\xbb #TBT #Oscars #BB8 #StarWars (Thanks for sharing, @JaredLeto!) https://t.co/TWK1womFSs""",0,info
